Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Devices","No","","92411","Ongoing","Abiomed, Inc.","22 &","24 Cherry Hill Dr","Danvers","MA","	01923-2575","United States","Voluntary: Firm initiated","Letter","US Nationwide distribution including in the states of AR, CA, FL, GA, LA, MA, MI, MO, NC, NJ, NY, OH, OR, SC, TX, and WI.","Z-2281-2023","Class I","Impella RP Flex with SmartAssist intracardiac microaxial blood pump, Product Number 1000323","166 units","A higher than expected rate of  thrombus formation or deposition has been observed. The risk is for thrombus formations or deposits on indwelling central venous lines or cannulas may break free and enter into the Impella RP Flex, resulting in reduced flow, loss of support, or hemolysis","06/29/2023","08/03/2023","","08/09/2023","UDI-DI: 00813502012811; Serial Numbers: 409541 409542 409544 411379 416645 416646 416647 416649 418933 418939 418940 419489 421953 421955 422974 422978 423999 425596 428726 428730 429616 429617 429623 429646 429648 429649 429650 429651 429652 429654 430363 430365 430366 430367 430923 430929 430931 431099 431106 431532 431535 431844 431846 431847 431848 431850 431868 431869 431870 432394 432395 432396 432397 432398 432400 432401 432402 432643 432644 432645 432648 432651 433755 433756 434540"
"Drugs","No","08/04/2023","92588","Ongoing","Lupin Pharmaceuticals Inc.","Harborplace Tower","111 S Calvert St Fl 21st","Baltimore","MD","	21202-6174","United States","Voluntary: Firm initiated","Letter","USA nationwide.","D-1081-2023","Class I","Tydemy (drospirenone, ethinyl estradiol and levomefolate calcium tablets, 3 mg/0.03 mg/0.451 mg and levomefolate calcium tablets 0.451 mg), packaged in 1 blister of 28 tablets each (NDC 68180-904-71) further packaged in a carton of 3 blisters (NDC 68180-904-73), Distributed by: Lupin Pharmaceuticals, Inc., Baltimore, Maryland 21202, Manufactured by Lupin Limited, Pithampur (M.P.), INDIA ","4,179 boxes/_ cartons per box/3 pouches each/28 blister per pouch","Failed Stability Specification and Failed Impurities/Degradation Specifications:  out of specification for inactive content ascorbic acid and MTHFRC-7impurity test  ","06/23/2023","08/04/2023","","08/09/2023","Lot #: L200183, Exp 1/2024; L201560, Exp 9/2024"
"Food","No","","92620","Ongoing","Foremost Foods International, Inc.","2883 Surveyor St","","Pomona","CA","	91768-3251","United States","Voluntary: Firm initiated","Letter","Throught the United States and one distributor in Mississauga, ON, Canada","F-1302-2023","Class I","Pamana brand Mini Fruit Jelly Cup  35.27 oz. Assorted Flavors 6 units per case Item #416705 ","11,040 units (total of all 3 products)","Potential choking hazard","06/12/2023","07/31/2023","","08/09/2023","UPC 795981293038"
"Food","No","","92620","Ongoing","Foremost Foods International, Inc.","2883 Surveyor St","","Pomona","CA","	91768-3251","United States","Voluntary: Firm initiated","Letter","Throught the United States and one distributor in Mississauga, ON, Canada","F-1303-2023","Class I","Pamana Brand Mini Fruit Jelly Cup  35.27 oz. Lychee Flavor 6 units per case Item #416704","11,040 units (total of all 3 products)","Potential choking hazard","06/12/2023","07/31/2023","","08/09/2023","UPC 795981293021"
"Food","No","","92620","Ongoing","Foremost Foods International, Inc.","2883 Surveyor St","","Pomona","CA","	91768-3251","United States","Voluntary: Firm initiated","Letter","Throught the United States and one distributor in Mississauga, ON, Canada","F-1304-2023","Class I","Pamana Brand Mini Fruit Jelly Cup  35.27 oz. Mango Flavor 6 units per case Item #416706 ","11,040 units (total for all 3 products)","Potential choking hazard","06/12/2023","07/31/2023","","08/09/2023","UPC 795981293045"
"Devices","No","","92202","Ongoing","Philips North America","222 Jacobs St","","Cambridge","MA","	02141-2296","United States","Voluntary: Firm initiated","Letter","Nationwide Foreign: China Algeria Argentina Australia Austria Azerbaijan Bahrain Bangladesh Belarus Belgium Bolivia Brazil Bulgaria Canada Chile China Colombia Czech Republic Ecuador Egypt France Germany Greece India Indonesia Iran Iraq Israel Italy Japan Jordan Korea, Republic of Kosovo Latvia Macedonia Mexico Moldova Netherlands Nigeria Pakistan Panama Philippines Poland Romania Russian Federation Saint Lucia Saint Pierre and Miquelon Saudi Arabia Serbia Slovakia Spain Sweden Taiwan Thailand Tunisia Turkey Turkmenistan United Kingdom Uzbekistan Viet Nam ","Z-2258-2023","Class II","Incisive CT-Computed Tomography X-Ray System   Model: 728143","36 US; 610 OUS","Metal mounting box on the rotating scanner on rotor  (heat exchanger box) located within the Incisive CT system may become expelled and make contact with other components and cause injury to user or if detached a loud noise will be emitted and the system will shut down","04/25/2023","07/28/2023","","08/09/2023","UDI-DI: (01) 00884838085015 (21) + Serial number Serial Numbers: 33001 33002 33003 33005 33006 33007 33008 33009 33010 33011 33012 33013 33015 33016 33017 33019 33020 33024 33025 33031 33033 33034 33035 33037 33038 33039 33041 33042 33045 33046 33047 33049 500252 500255 500282 500301  OUS:  System Serial Number 530117 33018 33021 33022 33023 33026 33027 33029 33030 33032 33036 33040 33043 33044 500241 500244 500245 500246 500247 500248 500253 500254 500256 500257 500258 500259 500260 500261 500262 500263 500264 500265 500266 500267 500268 500269 500270 500271 500272 500273 500274 500275 500276 500277 500278 500279 500283 500284 500285 500286 500287 500288 500293 500296 500298 500299 500300 500302 500303 500304 500305 500306 500307 500308 500309 500310 500311 500312 500313 500314 500315 500316 500317 500318 500319 500320 500321 500322 500323 500324 500325 500326 500327 500328 500329 500330 500331 500332 500333 500334 500335 500336 500337 500338 500339 500340 500341 500342 500343 500344 500345 500346 500347 500348 500349 500350 500351 500352 500353 500354 500355 500356 500357 500358 500359 500360 500361 500362 500363 500364 500365 500366 500367 500368 500369 500370 500371 500372 500373 500374 500375 500376 500377 500378 500379 500380 500381 500382 500383 500384 500385 500386 500387 500388 500389 500390 500391 500392 500393 500394 500395 500396 500397 500398 500399 500400 500401 500402 500403 500404 500405 500406 500407 500408 500409 500410 500411 500412 500413 500414 500415 500416 500417 500418 500419 500420 500421 500422 500423 500424 500425 500426 500427 500428 500429 500430 500431 500432 500433 500434 500435 500436 500437 500438 500439 500440 500441 500442 500443 500444 500445 500446 500447 500448 500449 500450 500451 500455 500456 500457 500458 500459 500460 500461 500462 500463 500464 500465 500466 500467 500468 500469 500470 500471 500472 500473 500474 500475 500476 500477 500478 500479 500480 500481 500482 500483 500484 500485 500486 500487 500488 500489 500490 500491 500492 500493 500494 500495 500497 500498 510000 510001 510002 510003 510004 510005 510006 510007 510008 510009 510010 510011 510012 510013 510014 510015 510016 510017 510018 510019 510020 510021 510022 510023 510024 510025 510026 510027 510028 510029 510030 510031 510032 510033 510034 510035 510036 510037 510038 510041 530118 530119 530120 530121 530124 530125 530126 530127 530128 530129 530130 530132 530133 530134 530135 530136 530137 530138 530139 530140 530141 530142 530143 530144 530145 530146 530147 530148 530149 530150 530151 530152 530153 530154 530155 530156 530157 530158 530159 530160 530161 530162 530163 530164 530165 530166 530167 530168 530169 530170 530171 530172 530173 530174 530175 530176 530177 530178 530179 530180 530181 530182 530183 530184 530185 530186 530187 530188 530189 530190 530191 530192 530193 530194 530195 530196 530197 530198 530199 530200 530201 530202 530203 530204 530205 530206 530207 530208 530209 530210 530211 530212 530213 530214 530215 530216 530217 530218 530219 530220 530221 530222 530223 530224 530225 530226 530227 530228 530229 530230 530231 530232 530233 530234 530235 530237 530238 530239 530240 530241 530242 530243 530244 530245 530246 530247 530248 530249 530250 530251 530252 530253 530254 530255 530256 530257 530258 530259 530260 530261 530262 530263 530264 530265 530266 530267 530268 530269 530270 530271 530272 530273 530274 530275 530276 530277 530278 530279 530280 530281 530282 530283 530284 530285 530286 530287 530288 530289 530290 530291 530292 530293 530295 530296 530297 530298 530299 530300 530302 530303 530304 530305 530306 530308 530309 530310 530311 530312 530313 530314 530315 530316 530317 530318 530319 530321 530322 530323 530324 530325 530326 530327 530328 530330 530333 530334 530336 530337 530339 530340 530341 530343 530344 530346 530347 530348 530351 530352 530353 530354 530355 530356 530359 530361 530362 530364 530365 530366 530367 530371 530375 530376 530377 530379 530380 530381 530382 530383 530385 530386 530387 530390 530391 530392 530393 530394 530395 530396 530397 530398 530399 530400 530401 530402 530403 530405 530406 530407 530410 530411 530412 530413 530414 530415 530416 530417 530418 530422 530423 530424 530425 530426 530427 530428 530429 530433 530434 530438 530439 530440 530441 530442 530443 530444 530446 530447 530448 530450 530451 530453 530454 530455 530457 530459 530463 530465 530467 530468 530469 530471 530472 530473 530477 530478 530479 530484 530487 530488 530490 530491 530493 530495 530496 530497 530498 530499 530503 530504 530522"
"Devices","No","","92202","Ongoing","Philips North America","222 Jacobs St","","Cambridge","MA","	02141-2296","United States","Voluntary: Firm initiated","Letter","Nationwide Foreign: China Algeria Argentina Australia Austria Azerbaijan Bahrain Bangladesh Belarus Belgium Bolivia Brazil Bulgaria Canada Chile China Colombia Czech Republic Ecuador Egypt France Germany Greece India Indonesia Iran Iraq Israel Italy Japan Jordan Korea, Republic of Kosovo Latvia Macedonia Mexico Moldova Netherlands Nigeria Pakistan Panama Philippines Poland Romania Russian Federation Saint Lucia Saint Pierre and Miquelon Saudi Arabia Serbia Slovakia Spain Sweden Taiwan Thailand Tunisia Turkey Turkmenistan United Kingdom Uzbekistan Viet Nam ","Z-2259-2023","Class II","Incisive CT for Brazil SKD-Computed Tomography X-Ray System   Model: 728146","20 units OUS","Metal mounting box on the rotating scanner on rotor  (heat exchanger box) located within the Incisive CT system may become expelled and make contact with other components and cause injury to user or if detached a loud noise will be emitted and the system will shut down","04/25/2023","07/28/2023","","08/09/2023","UDI-DI: (01)00884838104481(21) Serial Numbers: 540009 540008 540015 540012 540016 540017 540003 540004 540005 540006 540007 540001 540011 540000 540014 540013 540018 540010 540002"
"Devices","No","","92202","Ongoing","Philips North America","222 Jacobs St","","Cambridge","MA","	02141-2296","United States","Voluntary: Firm initiated","Letter","Nationwide Foreign: China Algeria Argentina Australia Austria Azerbaijan Bahrain Bangladesh Belarus Belgium Bolivia Brazil Bulgaria Canada Chile China Colombia Czech Republic Ecuador Egypt France Germany Greece India Indonesia Iran Iraq Israel Italy Japan Jordan Korea, Republic of Kosovo Latvia Macedonia Mexico Moldova Netherlands Nigeria Pakistan Panama Philippines Poland Romania Russian Federation Saint Lucia Saint Pierre and Miquelon Saudi Arabia Serbia Slovakia Spain Sweden Taiwan Thailand Tunisia Turkey Turkmenistan United Kingdom Uzbekistan Viet Nam ","Z-2260-2023","Class II","Incisive CT Power (China)-Computed Tomography X-Ray System   Model: 728148  ","53 units OUS","Metal mounting box on the rotating scanner on rotor  (heat exchanger box) located within the Incisive CT system may become expelled and make contact with other components and cause injury to user or if detached a loud noise will be emitted and the system will shut down","04/25/2023","07/28/2023","","08/09/2023","UDI-DI: (01)00884838103467 (21) Serial Numbers: 530456 530338 530360 530489 530370 530363 530389 530369 530481 530350 530464 530500 530436 530301 530501 530372 530466 530368 530476 530358 530294 530421 530435 530480 530458 530342 530432 530419 530460 530502 530349 530475 530482 530431 530335 530378 530494 530492 530470 530345 530461 530374 530384 530388 530357 530404 530329 530373 530409 530462 530420 530452 530307"
"Devices","No","","92202","Ongoing","Philips North America","222 Jacobs St","","Cambridge","MA","	02141-2296","United States","Voluntary: Firm initiated","Letter","Nationwide Foreign: China Algeria Argentina Australia Austria Azerbaijan Bahrain Bangladesh Belarus Belgium Bolivia Brazil Bulgaria Canada Chile China Colombia Czech Republic Ecuador Egypt France Germany Greece India Indonesia Iran Iraq Israel Italy Japan Jordan Korea, Republic of Kosovo Latvia Macedonia Mexico Moldova Netherlands Nigeria Pakistan Panama Philippines Poland Romania Russian Federation Saint Lucia Saint Pierre and Miquelon Saudi Arabia Serbia Slovakia Spain Sweden Taiwan Thailand Tunisia Turkey Turkmenistan United Kingdom Uzbekistan Viet Nam ","Z-2261-2023","Class II","Incisive CT Plus-Computed Tomography X-Ray System   Model: 728149","6 units OUS","Metal mounting box on the rotating scanner on rotor  (heat exchanger box) located within the Incisive CT system may become expelled and make contact with other components and cause injury to user or if detached a loud noise will be emitted and the system will shut down","04/25/2023","07/28/2023","","08/09/2023","UDI-DI: (01)00884838103474(21)  Serial Numbers: 530408 530437 530474 530320 530332 530430"
"Devices","No","","92383","Ongoing","Olympus Corporation of the Americas","3500 Corporate Pkwy","","Center Valley","PA","	18034-8229","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution: US (Nationwide) and OUS (foreign) to countries of: CN, DE, HK, IT, KR, SG, TH & TW. ","Z-2262-2023","Class II","Always-On Tip Tracked Instruments (SPiN Drive¿ instruments) Brush, 15mm L, 1.8mm OD  Intended for use in clinical interventions and for anatomical structures where computed tomography and/or endoscopic bronchoscopy are currently used for visualizing     Model: INS-0352  ","1816.2 units","Electromagnetic (EM) sensor tracking malfunction impacts the use of navigation functionality during endobronchial procedures and prompts the system to report a coil break warning message. This could result in a potential procedural delay","05/15/2023","07/28/2023","","08/09/2023","UDI-DI: 00815686020538 Lot Numbers: 04865230201 and below"
