Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","92641","Ongoing","Estancia Holdings","5503 Kingsley Mnr","","Cumming","GA","	30041-6119","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to one customer in Oregon. Sole consignee was notified; therefore, press was not issued.","F-1383-2023","Class I","FABRIQUE' EN CORSE TOMME CORSE AU LAIT DE BREBIS***ANTOINE OTTAVI FROMAGER***aFFINAGE 3 A' 5 MOIS SARL Fromagerie Ottavi 20240 Ghisonaccia Corsica","1cs/2/3kg wheels =13.5 lbs","Possible microbiological contamination, specifically Listeria monocytogenes.","06/23/2023","08/08/2023","","08/16/2023","LOT#: VC349 BBD: 08/05/2023"
"Food","No","","92663","Ongoing","Saffron Inc.","3348 Business Cir","","North Charleston","SC","	29418-7418","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to one distributor in South Carolina.","F-1399-2023","Class I","BURGER BUN WITH SEEDS 3507402 Flour, water, potato flour, eggs, sugar, shortening, milk powder, salt, yeast, S200 UPC 682863 049657","384cs/10 bags/6ct buns","The firm was notified that their labels do not list the allergens wheat and sesame.","06/30/2023","08/09/2023","","08/16/2023","All codes up to and including Sell By SEPT 29 23"
"Food","No","","92669","Ongoing","Betty Lou's Inc","1500 Ne Miller St","","Mcminnville","OR","	97128-8471","United States","Voluntary: Firm initiated","Letter","Nationwide","F-1366-2023","Class I","Betty Lou's Paleo Java Nuts About Energy Balls with Cacao, Coffee & Pumpkin Seeds, shelf-stable, 12-month shelf life, 1.5 oz (42g) package and 12/1.5 oz. packages per display box.  Packages are sold individually (UPC 0 1607352146 5) or packaged into 12-ct display box (UPC 0 1607352146 2).","1174 bars","Undeclared sesame. Paleo Java Nuts About Energy Balls with Cacao, Coffee & Pumpkin Seeds product containing sesame was packaged and labeled with Paleo Java Nuts About Energy Balls with Cacao, Coffee & Pumpkin Seeds labels that did not declare sesame.","07/06/2023","08/04/2023","","08/16/2023","BB 08MAY24 hh:mm F5 1283  Best by Day, Month, Year hh:mm hour and minute of packaging  F5 is packaging line identifier.  128: Julian Date of Manufactured Date 3: Last digit of Manufactured Year 1282: Manufactured on May 8th, 2023."
"Food","No","","92723","Ongoing","Cava Foods LLC","13250 Mid Atlantic Blvd","","Laurel","MD","	20708-1431","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed nationwide.","F-1401-2023","Class I","Cava  Spicy Hummus UPC 89832800227 Net Wt. 8oz./226.8 g Packaged in clear plastic container. 12 units per case","8,700 units","Undeclared sesame","07/15/2023","08/10/2023","","08/16/2023","Lot# MD023804, with a Best By Date:08/19/2023"
"Food","No","08/14/2023","92730","Ongoing","ONO LLC","1434 Law St","","San Diego","CA","	92109-2120","United States","Voluntary: Firm initiated","Letter","Nationwide in retail stores including Target and Vitamin Shoppe locations and through mail orders from www.eatovernightoats.com.","F-1421-2023","Class I","ONO Vegan Blueberry Muffin Protein Overnight Oats, 2.75oz. UPC 01-95893-47024-2","6000 retail units","Undeclared milk","07/14/2023","08/14/2023","","08/16/2023","Lot#11923  Best By 04/29/24"
"Food","No","","92766","Ongoing","Rich Products Corp","1 Robert Rich Way","","Buffalo","NY","	14213-1701","United States","Voluntary: Firm initiated","Telephone","OH, KY, PA, VA, WV","F-1380-2023","Class I","Member's Mark brand BREADED MOZZARELLA STICKS; 72 STICKS; 2 RESEALABLE BAGS INCLUDED; NET WT 5 LB (2.26 kg); UPC 078742226880","15 Cases","Product contains undeclared egg and soy.","07/24/2023","08/04/2023","","08/16/2023","Product Code 22688; Best By 12/28/2024"
"Devices","No","","92633","Ongoing","Olympus Corporation of the Americas","3500 Corporate Pkwy","","Center Valley","PA","	18034-8229","United States","Voluntary: Firm initiated","Letter","Nationwide","Z-2340-2023","Class II","VISERA Tracheal Intubation Videoscope OLYMPUS LF Type V- For airway management which includes endoscopic observation to access airway anatomy, endotracheal/endobronchial intubation and management.","1433 units","Revised OER-Pro, OER-Elite, OER-Mini endoscope reprocessor labeling- the LF-V and LF-P are no longer compatible endoscopes for reprocessing in the OERs.  The addendum highlights the following changes:  1. Removal of LF-V and LF-P as compatible with the OER  2. Change conditions for ETO gas sterilization from 12% EtO to 100% EtO  3. Removing the reusable cleaning brush for the manual cleaning. Single Use brushes  remain compatible","05/26/2023","08/04/2023","","08/16/2023","UDI-DI: 04953170340246 All serial numbers"
"Devices","No","","92633","Ongoing","Olympus Corporation of the Americas","3500 Corporate Pkwy","","Center Valley","PA","	18034-8229","United States","Voluntary: Firm initiated","Letter","Nationwide","Z-2341-2023","Class II","Tracheal Intubation Fiberscope OLYMPUS LF-P- To be used with an Olympus Light Source, documentation equipment, display monitor and other ancillary equipment for management of Endotracheal Tube","686 units","Revised OER-Pro, OER-Elite, OER-Mini endoscope reprocessor labeling- the LF-V and LF-P are no longer compatible endoscopes for reprocessing in the OERs.  The addendum highlights the following changes:  1. Removal of LF-V and LF-P as compatible with the OER  2. Change conditions for ETO gas sterilization from 12% EtO to 100% EtO  3. Removing the reusable cleaning brush for the manual cleaning. Single Use brushes  remain compatible","05/26/2023","08/04/2023","","08/16/2023","UDI-DI: 04953170051098 All serial numbers"
"Devices","No","","92633","Ongoing","Olympus Corporation of the Americas","3500 Corporate Pkwy","","Center Valley","PA","	18034-8229","United States","Voluntary: Firm initiated","Letter","Nationwide","Z-2342-2023","Class II","Olympus Endoscope Reprocessor OER-Pro-For use in cleaning and high-level disinfection of heat sensitive Olympus flexible endoscopes and their accessories.","4244 units","Revised OER-Pro, OER-Elite, OER-Mini endoscope reprocessor labeling- the LF-V and LF-P are no longer compatible endoscopes for reprocessing in the OERs.  The addendum highlights the following changes:  1. Removal of LF-V and LF-P as compatible with the OER  2. Change conditions for ETO gas sterilization from 12% EtO to 100% EtO  3. Removing the reusable cleaning brush for the manual cleaning. Single Use brushes  remain compatible","05/26/2023","08/04/2023","","08/16/2023","UDI-DI: 04953170258589  All serial numbers"
"Devices","No","","92633","Ongoing","Olympus Corporation of the Americas","3500 Corporate Pkwy","","Center Valley","PA","	18034-8229","United States","Voluntary: Firm initiated","Letter","Nationwide","Z-2343-2023","Class II","Olympus Endoscope Reprocessor OER-Mini-For use in cleaning and high-level disinfection of heat sensitive Olympus flexible endoscopes and their accessories.","241 units","Revised OER-Pro, OER-Elite, OER-Mini endoscope reprocessor labeling- the LF-V and LF-P are no longer compatible endoscopes for reprocessing in the OERs.  The addendum highlights the following changes:  1. Removal of LF-V and LF-P as compatible with the OER  2. Change conditions for ETO gas sterilization from 12% EtO to 100% EtO  3. Removing the reusable cleaning brush for the manual cleaning. Single Use brushes  remain compatible","05/26/2023","08/04/2023","","08/16/2023","UDI-DI:- 04953170331619 Serial Numbers: 2300314 and the last three digits less than 314"
"Devices","No","","92633","Ongoing","Olympus Corporation of the Americas","3500 Corporate Pkwy","","Center Valley","PA","	18034-8229","United States","Voluntary: Firm initiated","Letter","Nationwide","Z-2344-2023","Class II","Olympus Endoscope Reprocessor OER-Elite-For use in cleaning and high-level disinfection of heat sensitive Olympus flexible endoscopes and their accessories.","1063 units","Revised OER-Pro, OER-Elite, OER-Mini endoscope reprocessor labeling- the LF-V and LF-P are no longer compatible endoscopes for reprocessing in the OERs.  The addendum highlights the following changes:  1. Removal of LF-V and LF-P as compatible with the OER  2. Change conditions for ETO gas sterilization from 12% EtO to 100% EtO  3. Removing the reusable cleaning brush for the manual cleaning. Single Use brushes  remain compatible","05/26/2023","08/04/2023","","08/16/2023","UDI-DI: 04953170404047 Serial Numbers: 2201375 and the last 4 digits less than 1375"
"Food","No","","92643","Ongoing","ECLIPSE FOODS CO","914 Heinz Ave","","Berkeley","CA","	94710-2717","United States","Voluntary: Firm initiated","E-Mail","NC, SC, VA, MD, DC, DE, IL","F-1381-2023","Class II","Caramel Butter Pecan Cup  14 fl oz. cup (8 per case) Paper cup with paper lid Brand: Eclipse Foods UPC: 810049270490 Frozen","","Potential ink pen pieces; foreign object.","06/30/2023","08/04/2023","","08/16/2023","Lot #: MC00923041, Best By: 2/10/2024"
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1384-2023","Class II","Sweet Alchemy Blackberry Crumble ice cream, distributed in pints.  Label declares company name, flavor name, but does not declare ingredients and allergens.","12 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Egg, Milk, and Wheat.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1385-2023","Class II","Sweet Alchemy Cookies and Cream ice cream, distributed in cups and pints. Label declares company name, flavor name, but does not declare ingredients and allergens.","4 pints and 14 cups","Ice cream grab n go Pint and Cup containers' labels do not declare any ingredients including allergens Egg, Milk, and Wheat.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1386-2023","Class II","Sweet Alchemy Dough or Die ice cream, distributed in pints. Label declares company name, flavor name, but does not declare ingredients and allergens.","3 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Egg, Milk, Soy, and Wheat.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1387-2023","Class II","Sweet Alchemy Lemon Custard ice cream, distributed in cups. Label declares company name, flavor name, but does not declare ingredients and allergens.","8 cups","Ice cream grab n go Cup containers' labels do not declare any ingredients including allergens Egg and Milk.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1388-2023","Class II","Sweet Alchemy Strawberry ice cream, distributed in pints.  Label declares company name, flavor name, but does not declare ingredients and allergens.","15 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Egg and Milk.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1389-2023","Class II","Sweet Alchemy Strawberry Rhubarb Crumble ice cream, distributed in pints. Label declares company name, flavor name, but does not declare ingredients and allergens.","12 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Egg, Milk, and Wheat.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1390-2023","Class II","Sweet Alchemy Strawberry Rhubarb Crisp ice cream, distributed in cups and pints. Label declares company name, flavor name, but does not declare ingredients and allergens.","4 pints and 8 cups","Ice cream grab n go Pint and Cup containers' labels do not declare any ingredients including allergens Egg, Milk, and Wheat.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1391-2023","Class II","Sweet Alchemy Toasted Black Sesame ice cream, distributed in pints. Label declares company name, flavor name, but does not declare ingredients and allergens.","12 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Egg, Milk, and Sesame.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1392-2023","Class II","Sweet Alchemy UW Honey ice cream, distributed in pints. Label declares company name, flavor name, but does not declare ingredients and allergens.","12 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Egg and Milk.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1393-2023","Class II","Sweet Alchemy Vanilla Cubed ice cream, distributed in cups and pints. Label declares company name, flavor name, but does not declare ingredients and allergens.","4 pints and 6 cups","Ice cream grab n go Pint and Cup containers' labels do not declare any ingredients including allergens Egg and Milk.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1394-2023","Class II","Sweet Alchemy Vegan Lemon Pie ice cream, coconut-based product, distributed in pints.  Label declares company name, flavor name, but does not declare ingredients and allergens.","6 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Coconut and Wheat.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1395-2023","Class II","Sweet Alchemy Vegan Monkey Berry Bash ice cream, coconut-based product, distributed in  pints.  Label declares company name, flavor name, but does not declare ingredients and allergens.","6 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Coconut.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1396-2023","Class II","Sweet Alchemy Vegan Nutty for Chocolate ice cream, coconut-based product, distributed in pints.  Label declares company name, flavor name, but does not declare ingredients and allergens.","27 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Coconut and Peanut.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
"Food","No","","92649","Ongoing","Sweet Alchemy Ice Creamery, Inc","4301 University Way Ne","","Seattle","WA","	98105-5808","United States","Voluntary: Firm initiated","E-Mail","Distributed in WA only.","F-1397-2023","Class II","Sweet Alchemy Vegan Raspberry Chip ice cream, coconut-based product, distributed in pints.  Label declares company name, flavor name, but does not declare ingredients and allergens.","24 pints","Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Coconut and Soy.","06/30/2023","08/08/2023","","08/16/2023","No manufacturing code & expiration dates range from 7/30/2023 to 8/21/2023."
